"Record Date","Agency Bureau Indicator","Agency Name","Bureau Name","Total Eligible Debt Amount","Total Eligible Debt Count","Eligible Debt Referred Amount","Eligible Debt Referred Count","Eligible Debt Not Referred Amount","Eligible Debt Not Referred Count","Compliance Rate Amount","Compliance Rate Count","CFO Agency Indicator","Fiscal Year","Fiscal Quarter Number","Calendar Year","Calendar Quarter Number","Calendar Month Number","Calendar Day Number"
"2024-06-30","Bureau","Department of Education","Departmental Management","1217370438","2084","1213788431","2010","3582007","74","99.70575866735479","96.44913627639156","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Education","Federal Student Aid","112844145550","19125355","109500456362","18488654","3343689188","636701","97.03689617950234","96.67090623938745","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Education","Office of Postsecondary Education","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Energy","null","13731228","99","13731228","99","0","0","100.0","100.0","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Energy","Bonneville Power Administration","1058471","28","1058471","28","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Energy","Energy Consolidated Reports","12672757","71","12672757","71","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Health & Human Services","null","5180808770","1042206","4900440880","1012624","280367890","29582","94.58833741126485","97.16159761122081","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Administration for Children and Families","38911023","1779","38911023","1779","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Administration for Community Living","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Agency for Healthcare Research & Quality","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Centers for Disease Control","5310903","115","975244","17","4335659","98","18.363054267795892","14.782608695652174","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Centers for Medicare & Medicaid Services","4395687419","1006352","4298850921","997144","96836498","9208","97.79701128015991","99.08501200375217","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Food and Drug Administration","229557710","21949","71113530","2063","158444180","19886","30.978497738106903","9.3990614606588","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Health Resources and Services Admin","137731660","706","137731660","706","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Indian Health Services","101086798","4363","101086797","4363","1","0","99.99999901075114","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","National Institutes of Health","28388751","518","7637199","128","20751552","390","26.90220150932318","24.71042471042471","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Office of the Inspector General","33600","1","33600","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Office of the Secretary","236352516","6167","236352516","6167","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Program Support Center","6638393","246","6638393","246","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Health & Human Services","Substance Abuse & Mental Health Admin.","1109997","10","1109997","10","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Homeland Security","null","303327503","154956","275075651","79292","28251852","75664","90.6860236145484","51.17065489558326","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Bureau of Customs & Border Protection","9499670","1010","9499670","1010","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Citizenship and Immigration Services","1279189","1603","1279189","1603","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Domestic Nuclear Detection Office","2272","24","0","0","2272","24","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Emergency Preparedness & Resp","200177084","41962","200177084","41962","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Federal Law Enforcement Training Ctr.","8562","1","8562","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Immigration and Customs Enforcement","18547458","690","18547458","690","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Info Analysis Infrastructure Prot-NPPD","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Management Headquarters","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Office of Biometric Identity Management","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Office of the Inspector General DHS","100","1","100","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Science and Technology","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","Transportation Safety Administration","44709558","32717","44709558","32717","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","U.S. Coast Guard","29103610","76948","854030","1308","28249580","75640","2.9344469637959003","1.6998492488433747","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Homeland Security","U.S. Secret Service","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Housing and Urban Development","null","93028537","3956","92688488","3945","340049","11","99.63446807725246","99.72194135490395","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Housing and Urban Development","Community Planning and Development","102184","1","102184","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Housing and Urban Development","Government National Mortgage Association","221266","7","0","0","221266","7","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Housing and Urban Development","Housing Programs","91144384","3881","91025601","3877","118783","4","99.86967600768469","99.89693377995361","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Housing and Urban Development","Management and Administration","59759","59","59759","59","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Housing and Urban Development","Policy, Development and Research","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Housing and Urban Development","Public and Indian Housing Programs","1500944","8","1500944","8","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Justice","null","94058786","39990","91498988","39484","2559798","506","97.27851261018827","98.73468367091773","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Justice","Bureau of ATF and Explosives","19881","1","19881","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Justice","Drug Enforcement Administration","339485","15","339485","15","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Justice","Federal Bureau of Investigation","488813","114","488813","114","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Justice","Federal Prison Industries","758742","175","0","0","758742","175","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Justice","Federal Prison System","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Justice","General Administration","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Justice","Legal Activities","92024897","39676","90231893","39351","1793004","325","98.05160988118249","99.18086500655308","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Justice","Office of Justice Assistance Programs","418916","3","418916","3","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Justice","U.S. Marshals Service","8052","6","0","0","8052","6","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Labor","null","185111675","15193","166697313","11786","18414362","3407","90.05229572905112","77.57519910485092","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Labor","Bureau of Labor Statistics","4743","1","4743","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Labor","Departmental Management","206517","1729","0","0","206517","1729","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Labor","Employee Benefit Security Administration","22166455","478","22166455","478","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Labor","Employment Standards Administration","79315111","3805","68266551","3145","11048560","660","86.070044080251","82.65440210249672","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Labor","Employment and Training Administration","1226363","12","1226363","12","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Labor","Mine Safety and Health Administration","11969761","4623","10343304","4329","1626457","294","86.41195091531067","93.6404931862427","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Labor","Occupational Safety and Health Admin","70222725","4545","64689897","3821","5532828","724","92.12102919674507","84.07040704070407","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of State","null","22679388","20287","22596657","20248","82731","39","99.63521502432076","99.80775866318332","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of State","Department of State","21030183","9711","20947452","9672","82731","39","99.60660827345154","99.59839357429719","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of State","International Commissions","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of State","Passport NSF","1649205","10576","1649205","10576","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Transportation","null","91555362","9889","91547876","9888","7486","1","99.99182352640362","99.98988775407018","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","Federal Aviation Administration","4576202","519","4576202","519","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","Federal Highway Administration","9229","8","9229","8","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","Federal Motor Carrier Safety Admin","83307159","9207","83299673","9206","7486","1","99.99101397756225","99.98913869881612","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","Federal Railroad Administration","145009","11","145009","11","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","Federal Transit Administration","786477","2","786477","2","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","Maritime Administration","301146","17","301146","17","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","National Highway Traffic Safety Admin.","31918","7","31918","7","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","Office of the Inspector General","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","Office of the Secretary","1127150","14","1127150","14","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","Pipeline Hazardous Material Safety Admin","1264142","98","1264142","98","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","Research Innovative Technology Admin","2582","4","2582","4","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Transportation","St. Lawrence Seaway Development Corp.","4348","2","4348","2","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Veterans Affairs","null","536284694","17124897","529466500","17120097","6818194","4800","98.72862416617842","99.97197063433433","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Veterans Affairs","Administration and Cemeteries","4962461","835","762834","312","4199627","523","15.372090581669054","37.365269461077844","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Veterans Affairs","Housing Credit Assistance","438768","7","30101","2","408667","5","6.860345330561937","28.571428571428573","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Veterans Affairs","Life Insurance","1266595","264","1266595","264","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Veterans Affairs","Medical and Construction","528386278","17122155","527406970","17119519","979308","2636","99.814660591924","99.98460474163446","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Veterans Affairs","Veterans Benefits","1230592","1636","0","0","1230592","1636","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of the Interior","null","76705282","30776","76699095","30700","6187","76","99.9919340626373","99.75305432804782","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","Bureau of Indian Affairs","20227742","26698","20221555","26622","6187","76","99.96941329388125","99.71533448198367","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","Bureau of Land Management","8891486","286","8891486","286","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","Bureau of Ocean Energy Mgmt., Reg & Enf","933","1","933","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","Bureau of Reclamation","7424984","72","7424984","72","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","Bureau of Safety and Environmental Enf.","13718","2","13718","2","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","Fish and Wildlife Service","864974","142","864974","142","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","Geological Survey","154550","563","154550","563","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","National Park Service","8854736","2057","8854736","2057","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","Office of Natural Resources Revenue","18448088","488","18448088","488","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","Office of Surface Mining","11820135","458","11820135","458","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Interior","Office of the Secretary","3936","9","3936","9","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of the Treasury","null","44786881","4515","44619416","4506","167465","9","99.62608470100876","99.80066445182725","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Bureau of Engraving and Printing","38345","2","38345","2","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Bureau of the Fiscal Service","13852414","3067","13852414","3067","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Community Dev Financial Inst Fund","3617920","7","3617920","7","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Comptroller of the Currency","1201121","27","1199696","23","1425","4","99.88136082875913","85.18518518518519","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","D.C. Pension Program","864124","16","864124","16","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Departmental Offices","20878456","1322","20858451","1321","20005","1","99.90418352774745","99.92435703479576","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Financial Crimes Enforcement Network","1544945","3","1544945","3","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Interest on Tax/Deposit of Earnings","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Internal Revenue Service","105781","40","105781","40","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","International Monetary Funds","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Office of Financial Research","268","1","268","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Office of Sec International Affairs","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Office of the Secretary","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Pandemic Receivables","2514281","5","2514281","5","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Spec Insp Gen-Troubled Asset Rel Prog","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Tobacco Tax and Trade","1000","1","1000","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Treasury Forfeiture Fund","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Treasury Franchise Fund","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","Treasury IG for Tax Admin","65","1","65","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","U.S. Mint","168161","23","22126","19","146035","4","13.15762870106624","82.6086956521739","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of the Treasury","U.S. Treasury IG Office","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Environmental Protection Agency","null","28860774","257","28860774","257","0","0","100.0","100.0","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Environmental Protection Agency","Environmental Protection Agency","28860774","257","28860774","257","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Equal Employment Opportunity Commission","null","25460","22","25460","22","0","0","100.0","100.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Equal Employment Opportunity Commission","Equal Employment Opportunity Commission","25460","22","25460","22","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Export - Import  Bank","null","0","0","0","0","0","0","0.0","0.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Export - Import  Bank","Export-Import Bank","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Farm Credit Administration","null","630","1","630","1","0","0","100.0","100.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Farm Credit Administration","Farm Credit Administration","630","1","630","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Farm Credit Administration","Farm Credit System Insurance Corporation","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Federal Communications Commission","null","309028435","16116","309028435","16116","0","0","100.0","100.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Federal Communications Commission","Federal Communications Commission","309028435","16116","309028435","16116","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Federal Deposit Insurance Corporation","null","0","0","0","0","0","0","0.0","0.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Federal Deposit Insurance Corporation","Federal Deposit Insurance Corporation","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Federal Election Commission","null","3293452","414","3293452","414","0","0","100.0","100.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Federal Election Commission","Federal Election Commission","3293452","414","3293452","414","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Federal Labor Relations Authority","null","0","0","0","0","0","0","0.0","0.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Federal Labor Relations Authority","Federal Labor Relations Authority","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Federal Maritime Commission","null","2441954","10","459298","7","1982656","3","18.808626206718063","70.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Federal Maritime Commission","Salaries and Expenses","2441954","10","459298","7","1982656","3","18.808626206718063","70.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Federal Mediation/Conciliation Service","null","0","0","0","0","0","0","0.0","0.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Federal Mediation/Conciliation Service","Federal Mediation/Conciliation Service","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Federal Trade Commission","null","731122916","90","731122916","90","0","0","100.0","100.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Federal Trade Commission","Federal Trade Commission","731122916","90","731122916","90","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Funds Appropriated to the President","null","1236060","7","0","0","1236060","7","0.0","0.0","Non-CFO","2024","3","2024","2","06","30"
